dynamic,20,1,1,"tensor(25.5436, device='cuda:0')",0.2278,0.2916,0.3628,0.4118,0.4632,0.4904,0.5094,0.5274,0.5406,0.5508,0.5626,0.5716,0.5768,0.5846,0.5886,0.5922,0.6242,0.6358,0.6444,0.6548
total,20,1,1,"tensor(25.5436, device='cuda:0')",0.2278
dynamic,30,1,1,"tensor(25.0970, device='cuda:0')",0.2248,0.2822,0.35,0.4004,0.448,0.477,0.5008,0.5166,0.5306,0.541,0.5496,0.5578,0.5652,0.5726,0.577,0.5822,0.6274,0.6436,0.6542,0.6666
dynamic,25,1,1,"tensor(22.6602, device='cuda:0')",0.177,0.2174,0.2762,0.3236,0.3714,0.4034,0.428,0.4502,0.4648,0.4774,0.4906,0.5014,0.5098,0.521,0.5276,0.5366,0.6028,0.6188,0.6332,0.648
total,30,1,1,"tensor(25.0970, device='cuda:0')",0.2248
total,25,1,1,"tensor(22.6602, device='cuda:0')",0.177
dynamic,15,1,1,"tensor(22.6184, device='cuda:0')",0.1782,0.2234,0.2884,0.35,0.4152,0.4556,0.4836,0.5012,0.5126,0.5236,0.5346,0.5416,0.5476,0.5526,0.5568,0.5594,0.598,0.6142,0.6268,0.6376
dynamic,5,1,1,"tensor(16.1482, device='cuda:0')",0.063,0.0762,0.113,0.1844,0.2734,0.3388,0.3922,0.4326,0.4634,0.4848,0.507,0.5208,0.5344,0.5458,0.556,0.5642,0.6322,0.6482,0.6582,0.6676
total,15,1,1,"tensor(22.6184, device='cuda:0')",0.1782
dynamic,10,1,1,"tensor(21.6132, device='cuda:0')",0.1732,0.2064,0.243,0.2674,0.305,0.3356,0.3612,0.386,0.4076,0.4284,0.4434,0.4582,0.4734,0.4862,0.4946,0.5034,0.6036,0.6296,0.6438,0.6562
total,5,1,1,"tensor(16.1482, device='cuda:0')",0.063
total,10,1,1,"tensor(21.6132, device='cuda:0')",0.1732
total,5,2,1,"tensor(16.1482, device='cuda:0')",0.0686,0.0762
total,10,2,1,"tensor(21.6132, device='cuda:0')",0.1742,0.2064
total,15,2,1,"tensor(22.6184, device='cuda:0')",0.1912,0.2234
total,20,2,1,"tensor(25.5436, device='cuda:0')",0.2492,0.2916
total,25,2,1,"tensor(22.6602, device='cuda:0')",0.1852,0.2174
total,30,2,1,"tensor(25.0970, device='cuda:0')",0.2382,0.2822
total,5,5,1,"tensor(16.1482, device='cuda:0')",0.0912,0.1044,0.113
total,15,5,1,"tensor(22.6184, device='cuda:0')",0.2172,0.2562,0.2884
total,10,5,1,"tensor(21.6132, device='cuda:0')",0.1784,0.2126,0.243
total,25,5,1,"tensor(22.6602, device='cuda:0')",0.1992,0.2406,0.2762
total,20,5,1,"tensor(25.5436, device='cuda:0')",0.2656,0.3142,0.3628
total,30,5,1,"tensor(25.0970, device='cuda:0')",0.2528,0.3018,0.35
total,5,10,1,"tensor(16.1482, device='cuda:0')",0.1388,0.1614,0.1782,0.1844
total,10,10,1,"tensor(21.6132, device='cuda:0')",0.1818,0.2168,0.2498,0.2674
total,15,10,1,"tensor(22.6184, device='cuda:0')",0.2404,0.287,0.3292,0.35
total,30,10,1,"tensor(25.0970, device='cuda:0')",0.2634,0.3172,0.371,0.4004
total,20,10,1,"tensor(25.5436, device='cuda:0')",0.2708,0.3252,0.3834,0.4118
