dynamic,30,7,10,"tensor(16.1814, device='cuda:0')",0.2648916606700248,0.3789078116254897,0.5149516270888302,0.5620452546573919,0.6589909650595667,0.7070440553290157,0.7985128328136244,0.8946989685775966,0.9309586631486367
total,30,7,10,"tensor(16.1814, device='cuda:0')",0.5020788358519229,0.5940273446869753,0.6615495322619334,0.6766610698009115,0.7008875029983209,0.7070440553290157
dynamic,10,7,4,"tensor(21.4118, device='cuda:0')",0.3737107219956824,0.5059966418805469,0.6534340769169266,0.6970496521947709,0.7834412728871831,0.8196210122331494,0.8798672743263772,0.9377548572799232,0.9609418725513712
dynamic,10,8,2,"tensor(20.5950, device='cuda:0')",0.3620772367474214,0.5108739106100584,0.6764212041256896,0.7256736227712481,0.8179819301191333,0.8522427440633246,0.9068121851763012,0.9554649396338051,0.9732149996002238
total,10,8,2,"tensor(20.5950, device='cuda:0')",0.44347165587271126,0.5108739106100584
total,10,7,4,"tensor(21.4118, device='cuda:0')",0.5013592388262573,0.5915887103222196,0.6534340769169266
total,10,8,2,"tensor(20.5950, device='cuda:0')",0.44347165587271126,0.5108739106100584
total,10,8,1,"tensor(20.5950, device='cuda:0')",0.3620772367474214
total,10,8,4,"tensor(20.5950, device='cuda:0')",0.5207883585192292,0.6121771807787639,0.6764212041256896
total,10,8,8,"tensor(20.5950, device='cuda:0')",0.5685216278883825,0.6802990325417766,0.7633725113936196,0.7843207803629967,0.8179819301191333
total,10,8,10,"tensor(20.5950, device='cuda:0')",0.5761173742704085,0.691252898376909,0.7791236907331894,0.8021907731670265,0.839769728951787,0.8522427440633246
total,10,8,16,"tensor(20.5950, device='cuda:0')",0.5801151355241065,0.7004877268729511,0.7977532581754218,0.8221795794355161,0.8658751099384345,0.8819461101783002,0.9068121851763012
