dynamic,6,5,1,"tensor(12.2830, device='cuda:0')",0.0928,0.1834,0.2316,0.2896,0.3238,0.3408,0.357,0.368,0.376,0.3822,0.3858,0.3928,0.3978,0.4026,0.407,0.4424,0.4518,0.4582,0.4628,0.4674,0.4704,0.4738,0.4762
total,6,5,1,"tensor(12.2830, device='cuda:0')",0.1592,0.1834
dynamic,2,5,1,"tensor(1.1012, device='cuda:0')",0.004,0.0078,0.009,0.01,0.0164,0.0212,0.0262,0.0322,0.0362,0.0402,0.0442,0.0474,0.0506,0.0548,0.0584,0.1078,0.1404,0.1668,0.1972,0.222,0.2492,0.274,0.3006
dynamic,2,5,50,"tensor(19.9942, device='cuda:0')",0.0492,0.151,0.2364,0.3518,0.4214,0.481,0.524,0.561,0.5908,0.6202,0.6458,0.668,0.691,0.7098,0.7262,0.8516,0.889,0.914,0.93,0.9428,0.9522,0.959,0.9648
total,2,5,50,"tensor(19.9942, device='cuda:0')",0.1298,0.151
dynamic,6,5,300,"tensor(8.2028, device='cuda:0')",0.0168,0.0546,0.0776,0.1046,0.124,0.1404,0.1506,0.163,0.1722,0.1814,0.1896,0.1948,0.2016,0.208,0.2138,0.2808,0.3078,0.329,0.351,0.3668,0.3804,0.3952,0.4086
total,6,5,300,"tensor(8.2028, device='cuda:0')",0.0484,0.0546
dynamic,2,500,80,"tensor(20.2140, device='cuda:0')",0.0594,0.1638,0.2488,0.3628,0.4346,0.4948,0.537,0.5754,0.6076,0.6356,0.6586,0.6834,0.7016,0.7202,0.7344,0.8602,0.8962,0.921,0.937,0.9496,0.956,0.964,0.9694
dynamic,12,200,80,"tensor(15.6560, device='cuda:0')",0.039,0.1014,0.1384,0.1952,0.2366,0.2744,0.301,0.3246,0.3468,0.3678,0.3864,0.4022,0.4154,0.4246,0.4382,0.554,0.59,0.6168,0.6408,0.6596,0.6766,0.694,0.7082
dynamic,6,500,50,"tensor(17.4316, device='cuda:0')",0.0404,0.1202,0.1692,0.2412,0.2896,0.3302,0.3608,0.3926,0.4154,0.4404,0.4622,0.479,0.4978,0.5118,0.5262,0.658,0.6928,0.7202,0.743,0.7624,0.779,0.7934,0.8046
total,2,500,80,"tensor(20.2140, device='cuda:0')",0.4716,0.6938,0.77,0.8354,0.868,0.884,0.8958,0.9038,0.9084,0.9118,0.9138,0.9164,0.9172,0.9182,0.919,0.921,0.921,0.921
total,6,500,50,"tensor(17.4316, device='cuda:0')",0.391,0.5638,0.6192,0.6686,0.6876,0.7002,0.7058,0.7104,0.7132,0.7156,0.7164,0.717,0.7178,0.7186,0.7188,0.7202,0.7202,0.7202
total,2,5,1,"tensor(1.1012, device='cuda:0')",0.0054,0.0078
total,2,5,50,"tensor(19.9942, device='cuda:0')",0.1298,0.151
total,2,5,80,"tensor(20.2140, device='cuda:0')",0.1354,0.1638
total,6,5,1,"tensor(12.2830, device='cuda:0')",0.1592,0.1834
total,2,5,1,"tensor(1.1012, device='cuda:0')",0.0054,0.0078
dynamic,2,5,10,"tensor(21.5310, device='cuda:0')",0.0864,0.2456,0.3606,0.5036,0.5862,0.6502,0.6994,0.7374,0.7666,0.7914,0.8092,0.8224,0.8354,0.8458,0.8564,0.9212,0.9332,0.9402,0.9432,0.9454,0.9488,0.9512,0.9532
total,2,5,10,"tensor(21.5310, device='cuda:0')",0.2046,0.2456
total,2,5,50,"tensor(19.9942, device='cuda:0')",0.1298,0.151
dynamic,2,5,30,"tensor(20.1668, device='cuda:0')",0.0584,0.1602,0.2426,0.3526,0.4204,0.48,0.5238,0.5616,0.5914,0.615,0.644,0.6674,0.6874,0.7072,0.7262,0.853,0.8936,0.9186,0.9364,0.9478,0.9566,0.9634,0.9702
total,2,5,30,"tensor(20.1668, device='cuda:0')",0.1364,0.1602
dynamic,2,5,60,"tensor(20.1530, device='cuda:0')",0.0526,0.1486,0.24,0.3476,0.4242,0.485,0.53,0.5636,0.5908,0.6202,0.6468,0.67,0.6918,0.7082,0.7254,0.8532,0.8906,0.9154,0.9328,0.9442,0.9526,0.958,0.964
total,2,5,60,"tensor(20.1530, device='cuda:0')",0.1254,0.1486
dynamic,2,5,70,"tensor(19.7394, device='cuda:0')",0.0436,0.1496,0.237,0.3356,0.4102,0.461,0.502,0.54,0.569,0.597,0.6182,0.643,0.6636,0.6808,0.6962,0.8314,0.872,0.899,0.9188,0.931,0.9404,0.9472,0.9556
total,2,5,70,"tensor(19.7394, device='cuda:0')",0.1252,0.1496
total,2,5,80,"tensor(20.2140, device='cuda:0')",0.1354,0.1638
dynamic,2,5,90,"tensor(19.8290, device='cuda:0')",0.0524,0.17,0.2594,0.3632,0.4354,0.4892,0.5298,0.5636,0.5918,0.621,0.6448,0.6664,0.688,0.705,0.7222,0.8434,0.8828,0.9096,0.9254,0.9376,0.945,0.9514,0.9578
total,2,5,90,"tensor(19.8290, device='cuda:0')",0.1402,0.17
dynamic,2,5,100,"tensor(19.2950, device='cuda:0')",0.0438,0.1542,0.2326,0.3318,0.4022,0.4524,0.4928,0.5258,0.553,0.5814,0.6042,0.6236,0.6414,0.6598,0.6764,0.8072,0.8466,0.8732,0.8922,0.9096,0.9234,0.9332,0.9402
total,2,5,100,"tensor(19.2950, device='cuda:0')",0.127,0.1542
dynamic,2,5,500,"tensor(1.1648, device='cuda:0')",0.0048,0.0122,0.0144,0.0168,0.0184,0.0196,0.0206,0.0222,0.025,0.0278,0.0298,0.035,0.0392,0.0432,0.0486,0.1038,0.135,0.1646,0.192,0.2202,0.2468,0.2726,0.2988
dynamic,2,5,400,"tensor(1.3124, device='cuda:0')",0.0032,0.01,0.0152,0.0198,0.022,0.0244,0.0264,0.0282,0.0292,0.0308,0.0336,0.0368,0.0406,0.046,0.0488,0.103,0.1334,0.1648,0.1908,0.2222,0.2462,0.2726,0.3
total,2,5,500,"tensor(1.1648, device='cuda:0')",0.0092,0.0122
total,2,5,400,"tensor(1.3124, device='cuda:0')",0.0078,0.01
total,6,5,1,"tensor(12.2830, device='cuda:0')",0.1592,0.1834
dynamic,6,5,10,"tensor(19.4974, device='cuda:0')",0.0848,0.1922,0.2538,0.3334,0.3822,0.4276,0.4594,0.4908,0.5172,0.5364,0.554,0.5706,0.5886,0.6046,0.6156,0.7288,0.7612,0.7792,0.796,0.807,0.8178,0.8264,0.834
total,6,5,10,"tensor(19.4974, device='cuda:0')",0.1612,0.1922
dynamic,6,5,30,"tensor(18.7084, device='cuda:0')",0.0516,0.1392,0.1902,0.2644,0.3168,0.3602,0.3948,0.4292,0.4536,0.475,0.4972,0.513,0.531,0.5434,0.5566,0.687,0.7294,0.7582,0.781,0.7988,0.8106,0.822,0.831
total,6,5,30,"tensor(18.7084, device='cuda:0')",0.1168,0.1392
total,6,5,50,"tensor(17.4316, device='cuda:0')",0.1008,0.1202
dynamic,6,5,60,"tensor(17.7852, device='cuda:0')",0.0468,0.1284,0.1812,0.2556,0.3106,0.3518,0.3814,0.4088,0.435,0.4578,0.4794,0.4984,0.5134,0.5278,0.5408,0.6636,0.699,0.726,0.747,0.7652,0.7802,0.7924,0.8034
total,6,5,60,"tensor(17.7852, device='cuda:0')",0.1126,0.1284
dynamic,6,5,70,"tensor(16.9332, device='cuda:0')",0.056,0.1304,0.179,0.2446,0.2874,0.3198,0.3476,0.3694,0.3906,0.4066,0.4232,0.4356,0.451,0.4654,0.476,0.5962,0.6352,0.6698,0.6948,0.7176,0.7324,0.751,0.761
total,6,5,70,"tensor(16.9332, device='cuda:0')",0.1108,0.1304
dynamic,6,5,80,"tensor(17.1506, device='cuda:0')",0.0396,0.1132,0.1724,0.2408,0.2894,0.325,0.3524,0.3752,0.4002,0.4246,0.4436,0.4598,0.4748,0.489,0.5002,0.6236,0.6678,0.699,0.7268,0.7478,0.7624,0.775,0.788
total,6,5,80,"tensor(17.1506, device='cuda:0')",0.0984,0.1132
dynamic,6,5,90,"tensor(16.2510, device='cuda:0')",0.0392,0.105,0.1524,0.2138,0.258,0.2858,0.3102,0.3358,0.3566,0.3768,0.3926,0.4088,0.4204,0.4368,0.4484,0.5704,0.612,0.6438,0.6666,0.6858,0.7052,0.7208,0.7362
total,6,5,90,"tensor(16.2510, device='cuda:0')",0.0856,0.105
total,6,5,300,"tensor(8.2028, device='cuda:0')",0.0484,0.0546
dynamic,6,5,100,"tensor(15.3026, device='cuda:0')",0.0408,0.1008,0.147,0.2066,0.2462,0.2796,0.3018,0.3296,0.3506,0.3664,0.3816,0.3986,0.4104,0.42,0.4334,0.5452,0.585,0.6116,0.6382,0.6596,0.6764,0.6904,0.7042
total,6,5,100,"tensor(15.3026, device='cuda:0')",0.0834,0.1008
dynamic,6,5,400,"tensor(7.2892, device='cuda:0')",0.016,0.049,0.0694,0.0978,0.115,0.1268,0.136,0.1442,0.153,0.1624,0.1686,0.1754,0.1818,0.1876,0.193,0.261,0.2866,0.3078,0.3276,0.3418,0.3556,0.3692,0.3818
total,6,5,400,"tensor(7.2892, device='cuda:0')",0.0438,0.049
dynamic,6,5,500,"tensor(6.2370, device='cuda:0')",0.0202,0.0436,0.062,0.0842,0.0972,0.1062,0.1148,0.1228,0.13,0.136,0.1408,0.1458,0.1516,0.1572,0.163,0.2216,0.2474,0.2702,0.2876,0.3022,0.317,0.3276,0.3418
total,6,5,500,"tensor(6.2370, device='cuda:0')",0.0368,0.0436
dynamic,12,5,1,"tensor(16.5194, device='cuda:0')",0.0992,0.2144,0.2788,0.3424,0.3856,0.4156,0.4376,0.4528,0.4662,0.4758,0.4828,0.4906,0.4972,0.5032,0.513,0.568,0.588,0.6004,0.6104,0.6154,0.6206,0.6242,0.6278
total,12,5,1,"tensor(16.5194, device='cuda:0')",0.185,0.2144
