dynamic,1,8,10,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.586781964175417,0.6961087090796788,0.8085237801111798,0.8634959851760345,0.887584928968499,0.8999382334774553,0.9079678814082767,0.9159975293390982,0.922791846819024,0.9271155033971588,0.92958616429895,0.9314391599752934,0.9320568252007412,0.9332921556516368,0.938851142680667,0.9394688079061149,0.9400864731315627,0.9400864731315627
total,1,8,10,"tensor(23.1476, device='cuda:0')",0.5287214329833231,0.5997529339098209,0.6714021000617665,0.6961087090796788
dynamic,5,8,10,"tensor(19.9191, device='cuda:0')",0.12476837554045707,0.21865348980852378,0.41136504014823966,0.567016676961087,0.692402717726992,0.7510809141445337,0.7831995058678196,0.8054354539839407,0.8165534280420013,0.8221124150710315,0.8264360716491661,0.8282890673255096,0.8307597282273008,0.8326127239036443,0.8357010500308832,0.8363187152563311,0.8418777022853613,0.8418777022853613,0.8418777022853613,0.8418777022853613
total,5,8,10,"tensor(19.9191, device='cuda:0')",0.43421865348980854,0.4978381717109327,0.5484867201976529,0.567016676961087
dynamic,10,8,10,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.31624459542927735,0.46201358863495984,0.6077825818406424,0.6714021000617665,0.7004323656578134,0.7208153180975911,0.7300802964793082,0.7362569487337863,0.7418159357628166,0.7442865966646078,0.7479925880172946,0.7498455836936381,0.7504632489190859,0.7516985793699815,0.7547869054972205,0.7554045707226683,0.7554045707226683,0.7554045707226683
total,10,8,10,"tensor(18.4775, device='cuda:0')",0.35886349598517603,0.410129709697344,0.44966028412600373,0.46201358863495984
dynamic,20,8,10,"tensor(16.6473, device='cuda:0')",0.06053119209388511,0.11241507103150093,0.24274243360098827,0.3625694873378629,0.49413218035824585,0.5509573810994441,0.5762816553428042,0.5923409512044472,0.6003705991352687,0.6065472513897467,0.6096355775169858,0.6127239036442248,0.6133415688696726,0.6164298949969117,0.6164298949969117,0.6182828906732551,0.6226065472513898,0.6238418777022854,0.6238418777022854,0.6238418777022854
dynamic,30,8,10,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.20135886349598517,0.3193329215565164,0.4379246448424954,0.4928968499073502,0.5250154416306362,0.5466337245213094,0.5558987029030266,0.5596046942557134,0.5657813465101915,0.5676343421865349,0.5694873378628783,0.5707226683137739,0.5725756639901174,0.573810994441013,0.5806053119209389,0.5812229771463867,0.5818406423718344,0.5818406423718344
total,20,8,10,"tensor(16.6473, device='cuda:0')",0.291537986411365,0.32674490426189007,0.3533045089561458,0.3625694873378629
total,30,8,10,"tensor(15.6850, device='cuda:0')",0.26930203829524396,0.2940086473131563,0.3150092649783817,0.3193329215565164
dynamic,40,8,10,"tensor(14.9883, device='cuda:0')",0.054354539839407044,0.10438542310067943,0.18962322421247685,0.29030265596046945,0.3897467572575664,0.4434836318715256,0.47313156269302037,0.4891908585546634,0.49660284126003706,0.5027794935145151,0.509573810994441,0.5101914762198888,0.5108091414453366,0.5120444718962323,0.5132798023471279,0.5132798023471279,0.5182211241507103,0.5188387893761581,0.5188387893761581,0.5188387893761581
total,40,8,10,"tensor(14.9883, device='cuda:0')",0.24088943792464484,0.2637430512662137,0.28536133415688697,0.29030265596046945
dynamic,1,8,40,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.586781964175417,0.6961087090796788,0.8085237801111798,0.8634959851760345,0.887584928968499,0.8999382334774553,0.9079678814082767,0.9159975293390982,0.922791846819024,0.9271155033971588,0.92958616429895,0.9314391599752934,0.9320568252007412,0.9332921556516368,0.938851142680667,0.9394688079061149,0.9400864731315627,0.9400864731315627
total,1,8,40,"tensor(23.1476, device='cuda:0')",0.6300185299567634,0.7220506485484868,0.8097591105620754,0.849289684990735,0.8770846201358864,0.8838789376158123,0.887584928968499
dynamic,5,8,40,"tensor(19.9191, device='cuda:0')",0.12476837554045707,0.21865348980852378,0.41136504014823966,0.567016676961087,0.692402717726992,0.7510809141445337,0.7831995058678196,0.8054354539839407,0.8165534280420013,0.8221124150710315,0.8264360716491661,0.8282890673255096,0.8307597282273008,0.8326127239036443,0.8357010500308832,0.8363187152563311,0.8418777022853613,0.8418777022853613,0.8418777022853613,0.8418777022853613
total,5,8,40,"tensor(19.9191, device='cuda:0')",0.567016676961087,0.654107473749228,0.7263743051266214,0.7554045707226683,0.7770228536133416,0.7825818406423718,0.7831995058678196
dynamic,10,8,40,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.31624459542927735,0.46201358863495984,0.6077825818406424,0.6714021000617665,0.7004323656578134,0.7208153180975911,0.7300802964793082,0.7362569487337863,0.7418159357628166,0.7442865966646078,0.7479925880172946,0.7498455836936381,0.7504632489190859,0.7516985793699815,0.7547869054972205,0.7554045707226683,0.7554045707226683,0.7554045707226683
