dynamic,5,10,50,"tensor(20.5858, device='cuda:0')",0.3042071197411003,0.39158576051779936,0.49514563106796117,0.5889967637540453,0.6828478964401294,0.7734627831715211,0.8187702265372169,0.8478964401294499,0.8673139158576052,0.8932038834951457,0.8996763754045307,0.912621359223301,0.9255663430420712
dynamic,5,10,60,"tensor(20.5858, device='cuda:0')",0.3042071197411003,0.39158576051779936,0.49514563106796117,0.5889967637540453,0.6828478964401294,0.7734627831715211,0.8187702265372169,0.8478964401294499,0.8673139158576052,0.8932038834951457,0.8996763754045307,0.912621359223301,0.9255663430420712
dynamic,5,10,80,"tensor(20.5858, device='cuda:0')",0.3042071197411003,0.39158576051779936,0.49514563106796117,0.5889967637540453,0.6828478964401294,0.7734627831715211,0.8187702265372169,0.8478964401294499,0.8673139158576052,0.8932038834951457,0.8996763754045307,0.912621359223301,0.9255663430420712
total,5,10,50,"tensor(20.5858, device='cuda:0')",0.5760517799352751,0.6763754045307443,0.7216828478964401,0.7637540453074434,0.7928802588996764,0.8122977346278317,0.8252427184466019,0.8478964401294499
total,5,10,60,"tensor(20.5858, device='cuda:0')",0.5728155339805825,0.6828478964401294,0.7249190938511327,0.7734627831715211,0.8058252427184466,0.8187702265372169,0.8381877022653722,0.8414239482200647,0.8673139158576052
total,5,10,80,"tensor(20.5858, device='cuda:0')",0.5792880258899676,0.686084142394822,0.7281553398058253,0.7831715210355987,0.8155339805825242,0.8381877022653722,0.8478964401294499,0.8640776699029126,0.8673139158576052,0.8737864077669902,0.8996763754045307
dynamic,5,10,90,"tensor(20.5858, device='cuda:0')",0.3042071197411003,0.39158576051779936,0.49514563106796117,0.5889967637540453,0.6828478964401294,0.7734627831715211,0.8187702265372169,0.8478964401294499,0.8673139158576052,0.8932038834951457,0.8996763754045307,0.912621359223301,0.9255663430420712
total,5,10,90,"tensor(20.5858, device='cuda:0')",0.5760517799352751,0.686084142394822,0.7249190938511327,0.7799352750809061,0.8155339805825242,0.8381877022653722,0.8511326860841424,0.8640776699029126,0.8705501618122977,0.8737864077669902,0.889967637540453,0.912621359223301
dynamic,1,6,20,"tensor(26.1683, device='cuda:0')",0.4401294498381877,0.5145631067961165,0.5857605177993528,0.6504854368932039,0.7249190938511327,0.7831715210355987,0.8058252427184466,0.8284789644012945,0.8511326860841424,0.8576051779935275,0.8705501618122977,0.8802588996763754,0.8867313915857605
dynamic,1,6,1,"tensor(26.1683, device='cuda:0')",0.4401294498381877,0.5145631067961165,0.5857605177993528,0.6504854368932039,0.7249190938511327,0.7831715210355987,0.8058252427184466,0.8284789644012945,0.8511326860841424,0.8576051779935275,0.8705501618122977,0.8802588996763754,0.8867313915857605
dynamic,1,6,30,"tensor(26.1683, device='cuda:0')",0.4401294498381877,0.5145631067961165,0.5857605177993528,0.6504854368932039,0.7249190938511327,0.7831715210355987,0.8058252427184466,0.8284789644012945,0.8511326860841424,0.8576051779935275,0.8705501618122977,0.8802588996763754,0.8867313915857605
