dynamic,1,7,2,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
dynamic,30,7,2,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,1,8,2,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,30,8,2,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
dynamic,10,8,2,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
dynamic,10,7,2,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
total,1,7,2,"tensor(22.9426, device='cuda:0')",0.34218653489808526,0.39530574428659665
total,30,7,2,"tensor(15.6479, device='cuda:0')",0.09203211859172329,0.09882643607164916
total,10,8,2,"tensor(18.4775, device='cuda:0')",0.13835701050030882,0.15812229771463868
total,1,8,2,"tensor(23.1476, device='cuda:0')",0.3390982087708462,0.3971587399629401
total,30,8,2,"tensor(15.6850, device='cuda:0')",0.09388511426806671,0.1012970969734404
total,10,7,2,"tensor(18.4793, device='cuda:0')",0.1445336627547869,0.1605929586164299
dynamic,1,7,4,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
dynamic,10,7,4,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
dynamic,30,7,4,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
total,1,7,4,"tensor(22.9426, device='cuda:0')",0.43421865348980854,0.4990735021618283,0.5324274243360099
dynamic,1,8,4,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,10,8,4,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
dynamic,30,8,4,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
total,10,7,4,"tensor(18.4793, device='cuda:0')",0.23162445954292774,0.2637430512662137,0.2816553428042001
total,30,7,4,"tensor(15.6479, device='cuda:0')",0.13897467572575664,0.15503397158739962,0.1612106238418777
total,1,8,4,"tensor(23.1476, device='cuda:0')",0.43730697961704756,0.5021618282890673,0.5453983940704138
total,30,8,4,"tensor(15.6850, device='cuda:0')",0.1519456454601606,0.16491661519456455,0.17109326744904263
total,10,8,4,"tensor(18.4775, device='cuda:0')",0.22297714638665844,0.25694873378628785,0.2736256948733786
dynamic,1,7,8,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
total,1,7,8,"tensor(22.9426, device='cuda:0')",0.5108091414453366,0.5843113032736257,0.62816553428042,0.6417541692402717,0.6547251389746758
dynamic,10,7,8,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
dynamic,30,8,8,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
total,10,7,8,"tensor(18.4793, device='cuda:0')",0.3323038912909203,0.3786287831995059,0.4095120444718962,0.4175416924027177,0.4255713403335392
dynamic,30,7,8,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,1,8,8,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,10,8,8,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
total,30,8,8,"tensor(15.6850, device='cuda:0')",0.23285978999382334,0.2575663990117356,0.2705373687461396,0.272390364422483,0.27547869054972207
total,30,7,8,"tensor(15.6479, device='cuda:0')",0.2217418159357628,0.24830142063001853,0.2631253860407659,0.2655960469425571,0.26868437306979615
total,1,8,8,"tensor(23.1476, device='cuda:0')",0.5071031500926498,0.5787523162445954,0.6337245213094502,0.644224830142063,0.6621371216800495
total,10,8,8,"tensor(18.4775, device='cuda:0')",0.32612723903644225,0.3743051266213712,0.40333539221741815,0.40889437924644845,0.4175416924027177
dynamic,1,7,10,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
total,1,7,10,"tensor(22.9426, device='cuda:0')",0.5373687461395923,0.6151945645460161,0.660284126003706,0.6738727609635577,0.6905497220506486,0.6942557134033354
dynamic,10,7,10,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
total,10,7,10,"tensor(18.4793, device='cuda:0')",0.3638048177887585,0.4175416924027177,0.4508956145768993,0.46077825818406426,0.4718962322421248,0.4737492279184682
dynamic,1,8,10,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,30,7,10,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,10,8,10,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
dynamic,30,8,10,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
total,1,8,10,"tensor(23.1476, device='cuda:0')",0.5287214329833231,0.5997529339098209,0.6571957998764669,0.6714021000617665,0.6905497220506486,0.6961087090796788
total,30,7,10,"tensor(15.6479, device='cuda:0')",0.25633106856084004,0.2810376775787523,0.30018529956763434,0.304508956145769,0.3069796170475602,0.30821494749845585
total,10,8,10,"tensor(18.4775, device='cuda:0')",0.35886349598517603,0.410129709697344,0.44224830142063004,0.44966028412600373,0.4589252625077208,0.46201358863495984
total,30,8,10,"tensor(15.6850, device='cuda:0')",0.26930203829524396,0.2940086473131563,0.3113032736256949,0.3150092649783817,0.3193329215565164,0.3193329215565164
dynamic,1,7,16,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
total,1,7,16,"tensor(22.9426, device='cuda:0')",0.5762816553428042,0.6639901173563928,0.7140210006176653,0.7269919703520692,0.7486102532427424,0.7572575663990118,0.7671402100061766
dynamic,10,7,16,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
total,10,7,16,"tensor(18.4793, device='cuda:0')",0.4237183446571958,0.4823965410747375,0.5213094502779494,0.5367510809141446,0.5472513897467572,0.5528103767757875,0.5589870290302656
dynamic,30,7,16,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,1,8,16,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
total,30,7,16,"tensor(15.6479, device='cuda:0')",0.2983323038912909,0.3372452130945028,0.35948116121062385,0.3662754786905497,0.3730697961704756,0.3761581222977146,0.37801111797405806
dynamic,10,8,16,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
dynamic,30,8,16,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
total,1,8,16,"tensor(23.1476, device='cuda:0')",0.5793699814700433,0.6565781346510191,0.7195799876466955,0.7350216182828907,0.7572575663990118,0.7677578752316244,0.7794935145151328
total,30,8,16,"tensor(15.6850, device='cuda:0')",0.32365657813465104,0.3582458307597282,0.3817171093267449,0.3897467572575664,0.39592340951204447,0.3983940704138357,0.40086473131562694
total,10,8,16,"tensor(18.4775, device='cuda:0')",0.4298949969116739,0.4916615194564546,0.5281037677578753,0.5373687461395923,0.5503397158739963,0.55775169857937,0.5626930203829524
dynamic,1,7,32,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
total,1,7,32,"tensor(22.9426, device='cuda:0')",0.612106238418777,0.7066090179122916,0.772699197035207,0.7869054972205065,0.8128474366893144,0.820259419394688,0.8369363804817789,0.849289684990735,0.849289684990735
dynamic,10,7,32,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
total,10,7,32,"tensor(18.4793, device='cuda:0')",0.49351451513279804,0.5676343421865349,0.612106238418777,0.6263125386040765,0.6485484867201976,0.6534898085237801,0.6639901173563928,0.6720197652872143,0.6720197652872143
dynamic,30,7,32,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,1,8,32,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,10,8,32,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
dynamic,30,8,32,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
total,30,7,32,"tensor(15.6479, device='cuda:0')",0.3631871525633107,0.410129709697344,0.4397776405188388,0.44718962322421246,0.46324891908585547,0.4663372452130945,0.471278567016677,0.4737492279184682,0.4737492279184682
total,1,8,32,"tensor(23.1476, device='cuda:0')",0.6207535515750463,0.7109326744904262,0.7813465101914763,0.7967881408276714,0.8252007411982706,0.8363187152563311,0.8523780111179741,0.8684373069796171,0.8684373069796171
total,10,8,32,"tensor(18.4775, device='cuda:0')",0.5027794935145151,0.5744286596664607,0.6201358863495985,0.6349598517603459,0.650401482396541,0.6590487955528104,0.6707844348363187,0.6788140827671402,0.6788140827671402
total,30,8,32,"tensor(15.6850, device='cuda:0')",0.3922174181593576,0.4385423100679432,0.4688079061148857,0.47560222359481164,0.4916615194564546,0.4947498455836936,0.4996911673872761,0.5015441630636195,0.5015441630636195
dynamic,1,7,48,"tensor(22.9426, device='cuda:0')",0.25880172946263125,0.39530574428659665,0.5324274243360099,0.5787523162445954,0.6547251389746758,0.6942557134033354,0.7671402100061766,0.8412600370599135,0.849289684990735,0.8789376158122297
total,1,7,48,"tensor(22.9426, device='cuda:0')",0.6232242124768376,0.7201976528721433,0.7918468190240889,0.804200123533045,0.8344657195799876,0.8449660284126004,0.8591723285978999,0.8758492896849908,0.8770846201358864,0.8789376158122297
dynamic,10,7,48,"tensor(18.4793, device='cuda:0')",0.09017912291537987,0.1605929586164299,0.2816553428042001,0.3292155651636813,0.4255713403335392,0.4737492279184682,0.5589870290302656,0.663372452130945,0.6720197652872143,0.7066090179122916
total,10,7,48,"tensor(18.4793, device='cuda:0')",0.5120444718962323,0.5904879555281037,0.6361951822112415,0.6528721432983323,0.6720197652872143,0.6831377393452749,0.6967263743051266,0.7029030265596047,0.7041383570105003,0.7066090179122916
dynamic,1,8,48,"tensor(23.1476, device='cuda:0')",0.23780111179740582,0.3971587399629401,0.5453983940704138,0.586781964175417,0.6621371216800495,0.6961087090796788,0.7794935145151328,0.8634959851760345,0.8684373069796171,0.897467572575664
dynamic,30,7,48,"tensor(15.6479, device='cuda:0')",0.053119209388511425,0.09882643607164916,0.1612106238418777,0.19085855466337245,0.26868437306979615,0.30821494749845585,0.37801111797405806,0.4663372452130945,0.4737492279184682,0.5145151327980235
dynamic,30,8,48,"tensor(15.6850, device='cuda:0')",0.05250154416306362,0.1012970969734404,0.17109326744904263,0.20135886349598517,0.27547869054972207,0.3193329215565164,0.40086473131562694,0.4928968499073502,0.5015441630636195,0.544780728844966
dynamic,10,8,48,"tensor(18.4775, device='cuda:0')",0.08338480543545398,0.15812229771463868,0.2736256948733786,0.31624459542927735,0.4175416924027177,0.46201358863495984,0.5626930203829524,0.6714021000617665,0.6788140827671402,0.7171093267449042
total,30,7,48,"tensor(15.6479, device='cuda:0')",0.3823347745521927,0.4354539839407041,0.471278567016677,0.47992588017294624,0.4978381717109327,0.5015441630636195,0.5077208153180975,0.5138974675725757,0.5138974675725757,0.5145151327980235
total,1,8,48,"tensor(23.1476, device='cuda:0')",0.6312538604076591,0.727609635577517,0.8017294626312539,0.8153180975911056,0.8480543545398395,0.8567016676961087,0.875231624459543,0.8931439159975293,0.8931439159975293,0.897467572575664
total,30,8,48,"tensor(15.6850, device='cuda:0')",0.4144533662754787,0.4644842495367511,0.4996911673872761,0.509573810994441,0.5268684373069796,0.531809759110562,0.5379864113650401,0.5441630636195183,0.5441630636195183,0.544780728844966
total,10,8,48,"tensor(18.4775, device='cuda:0')",0.5213094502779494,0.6016059295861643,0.6473131562693021,0.6627547869054973,0.6800494132180358,0.6868437306979617,0.7029030265596047,0.7140210006176653,0.7152563310685608,0.7171093267449042
