dynamic,2,5,30,"tensor(21.9532, device='cuda:2')",0.0646,0.2108,0.3316,0.4848,0.5838,0.6532,0.7058,0.744,0.768,0.7948,0.8168,0.8346,0.8494,0.8624,0.873,0.95,0.966,0.9758,0.9834,0.987,0.989,0.992,0.9938
total,2,5,30,"tensor(21.9532, device='cuda:2')",0.1608,0.2108
dynamic,2,5,60,"tensor(20.6374, device='cuda:0')",0.034,0.1416,0.2186,0.3126,0.3796,0.4354,0.4772,0.5116,0.5448,0.574,0.599,0.6234,0.6422,0.663,0.6764,0.8166,0.856,0.886,0.9048,0.9206,0.9304,0.939,0.9472
total,2,5,60,"tensor(20.6374, device='cuda:0')",0.1152,0.1416
dynamic,2,5,80,"tensor(20.7138, device='cuda:0')",0.0488,0.1402,0.2078,0.295,0.3644,0.4136,0.4602,0.4936,0.5252,0.5524,0.5768,0.6022,0.6234,0.6428,0.6592,0.8236,0.869,0.9022,0.9216,0.9376,0.948,0.957,0.965
dynamic,2,5,70,"tensor(19.8960, device='cuda:1')",0.0318,0.1008,0.1694,0.2722,0.3478,0.4114,0.4548,0.4954,0.5304,0.5582,0.5856,0.6088,0.6294,0.649,0.6664,0.8262,0.8706,0.8954,0.9114,0.9252,0.9348,0.9426,0.949
dynamic,2,5,50,"tensor(20.7284, device='cuda:3')",0.0124,0.058,0.1222,0.238,0.3252,0.3876,0.434,0.478,0.5132,0.5484,0.5754,0.596,0.6138,0.6348,0.6554,0.8142,0.8624,0.8904,0.9128,0.9264,0.9364,0.9466,0.9524
dynamic,2,5,90,"tensor(20.0108, device='cuda:1')",0.0296,0.0828,0.1362,0.2176,0.2898,0.349,0.402,0.4472,0.4866,0.5238,0.5562,0.5836,0.6094,0.6314,0.6518,0.831,0.8776,0.9062,0.9232,0.9354,0.9482,0.9554,0.9624
total,2,5,80,"tensor(20.7138, device='cuda:0')",0.1082,0.1402
total,2,5,70,"tensor(19.8960, device='cuda:1')",0.0822,0.1008
total,2,5,50,"tensor(20.7284, device='cuda:3')",0.0468,0.058
total,2,5,90,"tensor(20.0108, device='cuda:1')",0.066,0.0828
dynamic,2,5,10,"tensor(11.0954, device='cuda:1')",0.0912,0.1954,0.2446,0.2992,0.3334,0.3496,0.3648,0.3762,0.3852,0.391,0.3976,0.401,0.4052,0.4086,0.412,0.4318,0.4382,0.4428,0.4476,0.4524,0.4572,0.462,0.467
total,2,5,10,"tensor(11.0954, device='cuda:1')",0.151,0.1954
dynamic,2,5,1,"tensor(1.0612, device='cuda:2')",0.0016,0.0036,0.0054,0.0116,0.0174,0.0224,0.0268,0.0312,0.036,0.0396,0.0426,0.047,0.0502,0.054,0.0566,0.1088,0.1386,0.166,0.1916,0.2182,0.2478,0.2712,0.298
total,2,5,1,"tensor(1.0612, device='cuda:2')",0.0036,0.0036
dynamic,2,5,100,"tensor(19.4974, device='cuda:2')",0.026,0.0892,0.1376,0.2076,0.2712,0.3204,0.3604,0.3972,0.434,0.4676,0.495,0.523,0.5478,0.5724,0.5936,0.785,0.834,0.8682,0.8866,0.9052,0.9154,0.9266,0.934
total,2,5,100,"tensor(19.4974, device='cuda:2')",0.0694,0.0892
dynamic,6,5,10,"tensor(18.2584, device='cuda:1')",0.0372,0.0454,0.06,0.1014,0.1404,0.1808,0.22,0.2524,0.2832,0.3074,0.33,0.351,0.3694,0.3888,0.4068,0.594,0.6494,0.6902,0.72,0.7414,0.7554,0.7678,0.7732
total,6,5,10,"tensor(18.2584, device='cuda:1')",0.0384,0.0454
dynamic,6,5,1,"tensor(6.0650, device='cuda:0')",0.018,0.0396,0.0568,0.1034,0.131,0.151,0.165,0.178,0.1852,0.1932,0.1976,0.201,0.2052,0.2086,0.2124,0.2328,0.2388,0.2456,0.254,0.263,0.2724,0.2836,0.302
total,6,5,1,"tensor(6.0650, device='cuda:0')",0.032,0.0396
dynamic,6,5,30,"tensor(19.2040, device='cuda:2')",0.0148,0.0546,0.1024,0.1736,0.2196,0.2536,0.2864,0.3096,0.3302,0.3502,0.3672,0.3828,0.3966,0.4092,0.4236,0.5576,0.6122,0.6614,0.7024,0.735,0.7632,0.7886,0.8078
