dynamic,2,5,30,"tensor(22.7706, device='cuda:0')",0.1846,0.418,0.5484,0.6744,0.7394,0.7868,0.8226,0.8462,0.8658,0.8818,0.8938,0.9024,0.9114,0.919,0.9276,0.9712,0.9766,0.9814,0.9836,0.9858,0.9872,0.9888,0.9892
total,2,5,30,"tensor(22.7706, device='cuda:0')",0.3356,0.418
dynamic,2,5,10,"tensor(21.5890, device='cuda:1')",0.1434,0.3188,0.4206,0.539,0.6136,0.6706,0.7066,0.7368,0.7578,0.7778,0.7926,0.8038,0.8144,0.8224,0.8318,0.8932,0.9082,0.919,0.9258,0.932,0.936,0.9384,0.9416
total,2,5,10,"tensor(21.5890, device='cuda:1')",0.2622,0.3188
dynamic,2,5,50,"tensor(21.5328, device='cuda:1')",0.2244,0.421,0.5124,0.6012,0.6512,0.679,0.6952,0.7096,0.72,0.7294,0.738,0.7452,0.754,0.7598,0.7658,0.806,0.8196,0.8298,0.8404,0.8486,0.853,0.8598,0.8662
total,2,5,50,"tensor(21.5328, device='cuda:1')",0.3202,0.421
dynamic,2,5,60,"tensor(15.5940, device='cuda:0')",0.1048,0.2404,0.3104,0.3876,0.4314,0.4614,0.4848,0.5048,0.5192,0.531,0.54,0.5506,0.5594,0.566,0.5716,0.6298,0.6488,0.662,0.6726,0.6814,0.6868,0.6928,0.6968
dynamic,2,5,70,"tensor(19.9662, device='cuda:1')",0.0676,0.1726,0.2498,0.3506,0.4218,0.482,0.5248,0.559,0.593,0.6186,0.643,0.6622,0.6814,0.6972,0.712,0.8312,0.8662,0.8916,0.9066,0.9164,0.9248,0.934,0.9392
dynamic,2,5,80,"tensor(16.4696, device='cuda:0')",0.0924,0.2264,0.2928,0.3584,0.3986,0.4244,0.446,0.4618,0.475,0.4832,0.4942,0.5014,0.5114,0.519,0.5232,0.5898,0.617,0.6394,0.6578,0.673,0.6858,0.7,0.712
total,2,5,60,"tensor(15.5940, device='cuda:0')",0.1952,0.2404
total,2,5,70,"tensor(19.9662, device='cuda:1')",0.1474,0.1726
total,2,5,80,"tensor(16.4696, device='cuda:0')",0.1862,0.2264
dynamic,2,5,90,"tensor(18.1206, device='cuda:1')",0.0384,0.1178,0.1868,0.2862,0.3508,0.397,0.4342,0.4672,0.4956,0.5188,0.5396,0.5588,0.5714,0.5836,0.5966,0.728,0.7688,0.803,0.8242,0.8456,0.8608,0.8774,0.8872
total,2,5,90,"tensor(18.1206, device='cuda:1')",0.099,0.1178
dynamic,2,5,100,"tensor(14.7702, device='cuda:0')",0.1392,0.2142,0.258,0.3022,0.3278,0.3452,0.3574,0.365,0.3738,0.3804,0.3874,0.3942,0.398,0.4032,0.4074,0.4484,0.4638,0.4724,0.4782,0.4862,0.4932,0.4998,0.5078
total,2,5,100,"tensor(14.7702, device='cuda:0')",0.1708,0.2142
dynamic,2,5,500,"tensor(9.0336, device='cuda:1')",0.0326,0.0792,0.1128,0.151,0.1742,0.188,0.2004,0.2102,0.2188,0.225,0.2304,0.233,0.2374,0.2412,0.2458,0.286,0.3004,0.3112,0.3192,0.3256,0.334,0.3398,0.3482
total,2,5,500,"tensor(9.0336, device='cuda:1')",0.0704,0.0792
dynamic,2,5,1,"tensor(4.7526, device='cuda:0')",0.0148,0.0338,0.0428,0.0524,0.0618,0.0698,0.0766,0.0832,0.0878,0.094,0.0998,0.1052,0.11,0.1144,0.1178,0.1876,0.2092,0.2282,0.2428,0.2548,0.2682,0.2778,0.2898
dynamic,2,5,400,"tensor(4.7076, device='cuda:0')",0.0254,0.054,0.0652,0.0772,0.0836,0.088,0.091,0.0938,0.0966,0.0992,0.1022,0.1052,0.109,0.111,0.1132,0.1518,0.1704,0.1872,0.2056,0.2162,0.2302,0.2418,0.2512
total,2,5,1,"tensor(4.7526, device='cuda:0')",0.0292,0.0338
total,2,5,400,"tensor(4.7076, device='cuda:0')",0.045,0.054
dynamic,2,5,300,"tensor(7.8194, device='cuda:1')",0.015,0.035,0.0442,0.06,0.0682,0.076,0.0822,0.0874,0.0926,0.0984,0.1034,0.1074,0.1106,0.1136,0.1162,0.1628,0.1838,0.2084,0.2312,0.2596,0.2844,0.3114,0.3428
total,2,5,300,"tensor(7.8194, device='cuda:1')",0.0286,0.035
dynamic,6,5,1,"tensor(16.5914, device='cuda:0')",0.1336,0.2516,0.317,0.4098,0.4646,0.5008,0.528,0.5468,0.5604,0.5684,0.576,0.5822,0.585,0.5894,0.594,0.6194,0.6246,0.629,0.631,0.636,0.6382,0.6396,0.6418
total,6,5,1,"tensor(16.5914, device='cuda:0')",0.2012,0.2516
dynamic,6,5,10,"tensor(26.6462, device='cuda:1')",0.2684,0.4522,0.5334,0.6148,0.6606,0.699,0.7284,0.7524,0.775,0.7918,0.8052,0.817,0.8262,0.834,0.8426,0.9046,0.9194,0.9322,0.9426,0.9466,0.9508,0.955,0.9594
total,6,5,10,"tensor(26.6462, device='cuda:1')",0.3414,0.4522
dynamic,6,5,60,"tensor(18.2834, device='cuda:0')",0.0684,0.1872,0.2618,0.3424,0.3894,0.4266,0.4548,0.4762,0.4922,0.507,0.5182,0.5284,0.5404,0.5506,0.561,0.6522,0.6798,0.7038,0.7226,0.7368,0.7504,0.764,0.7752
dynamic,6,5,30,"tensor(16.7068, device='cuda:0')",0.06,0.1302,0.18,0.2456,0.2874,0.3202,0.3528,0.3786,0.3972,0.4166,0.4354,0.4498,0.4656,0.4782,0.489,0.606,0.6492,0.6772,0.7034,0.7212,0.7416,0.7584,0.7698
total,6,5,60,"tensor(18.2834, device='cuda:0')",0.1572,0.1872
total,6,5,30,"tensor(16.7068, device='cuda:0')",0.1102,0.1302
dynamic,6,5,50,"tensor(19.3308, device='cuda:1')",0.124,0.2546,0.3166,0.3802,0.424,0.4538,0.4748,0.4898,0.5038,0.5194,0.531,0.5404,0.5486,0.5556,0.5646,0.6602,0.698,0.7278,0.7512,0.7724,0.7904,0.8032,0.8134
total,6,5,50,"tensor(19.3308, device='cuda:1')",0.2026,0.2546
dynamic,6,5,70,"tensor(17.0014, device='cuda:1')",0.1046,0.1976,0.2406,0.2918,0.3306,0.3572,0.3806,0.4016,0.4174,0.4342,0.4464,0.4592,0.4698,0.4786,0.4882,0.5914,0.6228,0.647,0.6718,0.6952,0.7096,0.7242,0.7376
total,6,5,70,"tensor(17.0014, device='cuda:1')",0.151,0.1976
dynamic,6,5,80,"tensor(15.7712, device='cuda:0')",0.0712,0.1428,0.187,0.243,0.2856,0.3174,0.3412,0.358,0.3738,0.385,0.396,0.409,0.4198,0.43,0.4398,0.52,0.5468,0.5684,0.588,0.6068,0.6214,0.6354,0.6528
total,6,5,80,"tensor(15.7712, device='cuda:0')",0.1174,0.1428
dynamic,6,5,90,"tensor(15.8248, device='cuda:1')",0.075,0.1538,0.1942,0.2472,0.2872,0.3118,0.3344,0.354,0.37,0.3852,0.3976,0.4076,0.4184,0.427,0.4352,0.5296,0.5626,0.5882,0.6118,0.6334,0.6512,0.6668,0.6826
total,6,5,90,"tensor(15.8248, device='cuda:1')",0.1282,0.1538
dynamic,6,5,100,"tensor(17.0982, device='cuda:0')",0.0412,0.108,0.1582,0.2212,0.2726,0.3134,0.3456,0.3724,0.3928,0.4142,0.4326,0.448,0.4634,0.4738,0.4858,0.6118,0.6468,0.6774,0.7016,0.7236,0.7406,0.7564,0.7664
total,6,5,100,"tensor(17.0982, device='cuda:0')",0.0918,0.108
dynamic,6,5,400,"tensor(10.9486, device='cuda:0')",0.033,0.0808,0.1138,0.1524,0.173,0.1908,0.2048,0.2164,0.2232,0.2334,0.241,0.2462,0.2534,0.261,0.268,0.343,0.3728,0.3992,0.424,0.447,0.4668,0.4844,0.5036
total,6,5,400,"tensor(10.9486, device='cuda:0')",0.067,0.0808
dynamic,6,5,300,"tensor(10.4516, device='cuda:1')",0.0204,0.06,0.09,0.1276,0.1562,0.1778,0.197,0.211,0.2222,0.2326,0.2422,0.2524,0.2614,0.271,0.278,0.3588,0.385,0.408,0.4236,0.4356,0.4474,0.4592,0.469
